system:index,Area_ha,Pixels,Transition,.geo
0,11136.091411764728,123734.34901960808,Forest → Forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,376.4654117647061,4182.949019607846,Forest → Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,388.51305882352926,4316.811764705881,Urban → Forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,88.43752941176473,982.6392156862748,Urban → Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,4.23,47.0,Urban → Barren,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,18.244588235294113,202.7176470588235,Urban → Water,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,9.944823529411766,110.49803921568628,Forest → Barren,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,4.95,55.0,Barren → Forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.36,4.0,Barren → Barren,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2.52,28.0,Barren → Water,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,34.25611764705882,380.6235294117647,Forest → Water,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,88.5998823529412,984.4431372549021,Water → Forest,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,29.54858823529412,328.3176470588236,Water → Urban,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,11.16,124.0,Water → Barren,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,196.33270588235283,2181.4745098039202,Water → Water,"{""type"":""MultiPoint"",""coordinates"":[]}"
